encoding_method,fraction,train_samples,test_samples,auc,f1,accuracy,precision,recall,training_time_sec,seed,dataset_id,timestamp,mode
tfidf,0.75,300000,50000,0.5028485124826463,0.4990635006948221,0.50254,0.5006060606060606,0.497530418021925,25.46629023551941,9551,kip_m4,2026-09-10T15:30:06.120993,shuffled_train
tfidf,1.0,400000,50000,0.5069211921943958,0.5101572998181962,0.50424,0.5022372670324112,0.5183311247640846,21.566080808639526,9551,kip_m4,2026-09-10T15:30:27.925660,shuffled_train
basic,0.01,4000,50000,0.498380197214841,0.4828241123038811,0.49896,0.4968347707864213,0.4695819780749307,1.3993699550628662,9552,kip_m4,2026-09-10T15:30:37.935832,shuffled_train
basic,0.1,40000,50000,0.5017062168860714,0.5041302621127879,0.50056,0.4986447735396944,0.5097377825964743,1.839785099029541,9552,kip_m4,2026-09-10T15:30:39.991985,shuffled_train
basic,0.3,120000,50000,0.4977252457549397,0.4835237348950386,0.49908,0.4969691831630706,0.470786652210577,7.088021993637085,9552,kip_m4,2026-09-10T15:30:47.310025,shuffled_train
basic,0.5,200000,50000,0.4981714124717118,0.4956568837890429,0.49718,0.4952296961436703,0.4960848090591495,4.860562324523926,9552,kip_m4,2026-09-10T15:30:52.387331,shuffled_train
basic,0.75,300000,50000,0.5004219271518602,0.4973031717919819,0.50044,0.4984869880976397,0.496124964863671,4.547128915786743,9552,kip_m4,2026-09-10T15:30:57.153369,shuffled_train
basic,1.0,400000,50000,0.49852754743311,0.4795166213326135,0.49866,0.4964743314128472,0.4636790748102638,10.270872116088867,9552,kip_m4,2026-09-10T15:31:07.671276,shuffled_train
categorical,0.01,4000,50000,0.4982563817508733,0.5140121438580103,0.50056,0.4986971791095502,0.5302975545115046,4.339047908782959,9552,kip_m4,2026-09-10T15:31:12.227949,shuffled_train
categorical,0.1,40000,50000,0.4975603992732747,0.5006564551422319,0.49796,0.4960775811093152,0.5053206440991045,4.6513543128967285,9552,kip_m4,2026-09-10T15:31:17.097042,shuffled_train
categorical,0.3,120000,50000,0.499339671659153,0.5037841264809605,0.49908,0.4972038637519064,0.5105408986869052,2.6394362449646,9552,kip_m4,2026-09-10T15:31:19.956711,shuffled_train
categorical,0.5,200000,50000,0.5015992144752144,0.4997177191709008,0.50376,0.5018426274652735,0.4976107296309681,3.5551180839538574,9552,kip_m4,2026-09-10T15:31:23.737396,shuffled_train
categorical,0.75,300000,50000,0.4967948181479103,0.5084099662029395,0.49964,0.4977875254915541,0.5194956430952095,4.3339316844940186,9552,kip_m4,2026-09-10T15:31:28.288810,shuffled_train
